เหตุผล,แหล่งที่มา,การตรวจสอบความถูกต้อง,หน้า
รวบรวมข้อมูลแล้ว - ยังไม่ได้จัดทำดัชนี,ระบบของ Google,ล้มเหลว,174.0
"ถูกยกเว้นโดยแท็ก ""noindex""",เว็บไซต์,ยังไม่ได้เริ่มต้น,30.0
หน้าที่มีการเปลี่ยนเส้นทาง,เว็บไซต์,ยังไม่ได้เริ่มต้น,19.0
หน้าเว็บสำรองที่มีแท็กตามรูปแบบบัญญัติที่ถูกต้อง,เว็บไซต์,ยังไม่ได้เริ่มต้น,1.0
ซ้ำ Google เลือกรูปแบบบัญญัติที่ต่างจากผู้ใช้,ระบบของ Google,ไม่มี,0.0
พบแล้ว - ยังไม่ได้จัดทำดัชนี,ระบบของ Google,ผ่าน,0.0
